Feature,Compartment,Feature Group,Function,Channel,Function_Comment#1,Function_Comment#2,TP,FP,TN,FN,PPV,BA,AUC_ROC,AUC_PR,F1_Score,MCC,Sensitivity,Specificity
Cells_Granularity_16_AGP,Cells,Granularity,16,AGP,,,0,0,401,85,0,0.5,0.56,0.19,0,0,0,1
Cells_Granularity_2_AGP,Cells,Granularity,2,AGP,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cells_Granularity_3_AGP,Cells,Granularity,3,AGP,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Granularity_4_AGP,Cells,Granularity,4,AGP,,,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cells_Granularity_5_AGP,Cells,Granularity,5,AGP,,,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Cells_Granularity_6_AGP,Cells,Granularity,6,AGP,,,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Cells_Granularity_7_AGP,Cells,Granularity,7,AGP,,,0,0,401,85,0,0.5,0.62,0.22,0,0,0,1
Cells_Granularity_8_AGP,Cells,Granularity,8,AGP,,,0,0,401,85,0,0.5,0.61,0.23,0,0,0,1
Cells_Granularity_9_AGP,Cells,Granularity,9,AGP,,,0,0,401,85,0,0.5,0.6,0.23,0,0,0,1
Cells_Intensity_IntegratedIntensity_AGP,Cells,Intensity,IntegratedIntensity,AGP,,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cells_Intensity_IntegratedIntensityEdge_AGP,Cells,Intensity,IntegratedIntensityEdge,AGP,,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Cells_Intensity_LowerQuartileIntensity_AGP,Cells,Intensity,LowerQuartileIntensity,AGP,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Intensity_MADIntensity_AGP,Cells,Intensity,MADIntensity,AGP,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Intensity_MassDisplacement_AGP,Cells,Intensity,MassDisplacement,AGP,,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Intensity_MaxIntensity_AGP,Cells,Intensity,MaxIntensity,AGP,,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cells_Intensity_MaxIntensityEdge_AGP,Cells,Intensity,MaxIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.56,0.19,0,0,0,1
Cells_Intensity_MeanIntensity_AGP,Cells,Intensity,MeanIntensity,AGP,,,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cells_Intensity_MeanIntensityEdge_AGP,Cells,Intensity,MeanIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Intensity_MedianIntensity_AGP,Cells,Intensity,MedianIntensity,AGP,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cells_Intensity_MinIntensity_AGP,Cells,Intensity,MinIntensity,AGP,,,0,0,401,85,0,0.5,0.63,0.23,0,0,0,1
Cells_Intensity_MinIntensityEdge_AGP,Cells,Intensity,MinIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.62,0.23,0,0,0,1
Cells_Intensity_StdIntensity_AGP,Cells,Intensity,StdIntensity,AGP,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_Intensity_StdIntensityEdge_AGP,Cells,Intensity,StdIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cells_Intensity_UpperQuartileIntensity_AGP,Cells,Intensity,UpperQuartileIntensity,AGP,,,5,4,397,80,0.56,0.52,0.52,0.2,0.11,0.137642371,0.06,0.99
Cells_Location_CenterMassIntensity_X_AGP,Cells,Location,CenterMassIntensity,AGP,X,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cells_Location_CenterMassIntensity_Y_AGP,Cells,Location,CenterMassIntensity,AGP,Y,,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Cells_Location_MaxIntensity_X_AGP,Cells,Location,MaxIntensity,AGP,X,,0,0,401,85,0,0.5,0.51,0.18,0,0,0,1
Cells_Location_MaxIntensity_Y_AGP,Cells,Location,MaxIntensity,AGP,Y,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_RadialDistribution_FracAtD_AGP_1of4,Cells,RadialDistribution,FracAtD,AGP,1of4,,4,1,400,81,0.8,0.52,0.52,0.2,0.09,0.167771653,0.05,1
Cells_RadialDistribution_FracAtD_AGP_2of4,Cells,RadialDistribution,FracAtD,AGP,2of4,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Cells_RadialDistribution_FracAtD_AGP_3of4,Cells,RadialDistribution,FracAtD,AGP,3of4,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_RadialDistribution_FracAtD_AGP_4of4,Cells,RadialDistribution,FracAtD,AGP,4of4,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Cells_RadialDistribution_MeanFrac_AGP_1of4,Cells,RadialDistribution,MeanFrac,AGP,1of4,,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cells_RadialDistribution_MeanFrac_AGP_2of4,Cells,RadialDistribution,MeanFrac,AGP,2of4,,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cells_RadialDistribution_MeanFrac_AGP_3of4,Cells,RadialDistribution,MeanFrac,AGP,3of4,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_RadialDistribution_MeanFrac_AGP_4of4,Cells,RadialDistribution,MeanFrac,AGP,4of4,,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cells_RadialDistribution_RadialCV_AGP_1of4,Cells,RadialDistribution,RadialCV,AGP,1of4,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cells_RadialDistribution_RadialCV_AGP_2of4,Cells,RadialDistribution,RadialCV,AGP,2of4,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cells_RadialDistribution_RadialCV_AGP_3of4,Cells,RadialDistribution,RadialCV,AGP,3of4,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_RadialDistribution_RadialCV_AGP_4of4,Cells,RadialDistribution,RadialCV,AGP,4of4,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Texture_AngularSecondMoment_AGP_10_0,Cells,Texture,AngularSecondMoment,AGP,10,0,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cells_Texture_AngularSecondMoment_AGP_3_0,Cells,Texture,AngularSecondMoment,AGP,3,0,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cells_Texture_AngularSecondMoment_AGP_5_0,Cells,Texture,AngularSecondMoment,AGP,5,0,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Cells_Texture_Contrast_AGP_10_0,Cells,Texture,Contrast,AGP,10,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Texture_Contrast_AGP_3_0,Cells,Texture,Contrast,AGP,3,0,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Texture_Contrast_AGP_5_0,Cells,Texture,Contrast,AGP,5,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_Correlation_AGP_10_0,Cells,Texture,Correlation,AGP,10,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cells_Texture_Correlation_AGP_3_0,Cells,Texture,Correlation,AGP,3,0,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Cells_Texture_Correlation_AGP_5_0,Cells,Texture,Correlation,AGP,5,0,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cells_Texture_DifferenceEntropy_AGP_10_0,Cells,Texture,DifferenceEntropy,AGP,10,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cells_Texture_DifferenceEntropy_AGP_3_0,Cells,Texture,DifferenceEntropy,AGP,3,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_DifferenceEntropy_AGP_5_0,Cells,Texture,DifferenceEntropy,AGP,5,0,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cells_Texture_DifferenceVariance_AGP_10_0,Cells,Texture,DifferenceVariance,AGP,10,0,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cells_Texture_DifferenceVariance_AGP_3_0,Cells,Texture,DifferenceVariance,AGP,3,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_DifferenceVariance_AGP_5_0,Cells,Texture,DifferenceVariance,AGP,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Texture_Entropy_AGP_10_0,Cells,Texture,Entropy,AGP,10,0,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Texture_Entropy_AGP_3_0,Cells,Texture,Entropy,AGP,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Texture_Entropy_AGP_5_0,Cells,Texture,Entropy,AGP,5,0,0,0,401,85,0,0.5,0.59,0.22,0,0,0,1
Cells_Texture_Gabor_AGP_10,Cells,Texture,Gabor,AGP,10,,0,0,401,85,0,0.5,0.6,0.21,0,0,0,1
Cells_Texture_Gabor_AGP_3,Cells,Texture,Gabor,AGP,3,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_Texture_Gabor_AGP_5,Cells,Texture,Gabor,AGP,5,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cells_Texture_InfoMeas1_AGP_10_0,Cells,Texture,InfoMeas1,AGP,10,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cells_Texture_InfoMeas1_AGP_3_0,Cells,Texture,InfoMeas1,AGP,3,0,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Texture_InfoMeas1_AGP_5_0,Cells,Texture,InfoMeas1,AGP,5,0,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Texture_InfoMeas2_AGP_10_0,Cells,Texture,InfoMeas2,AGP,10,0,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cells_Texture_InfoMeas2_AGP_3_0,Cells,Texture,InfoMeas2,AGP,3,0,5,3,398,80,0.62,0.53,0.53,0.2,0.11,0.153284223,0.06,0.99
Cells_Texture_InfoMeas2_AGP_5_0,Cells,Texture,InfoMeas2,AGP,5,0,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cells_Texture_InverseDifferenceMoment_AGP_10_0,Cells,Texture,InverseDifferenceMoment,AGP,10,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_InverseDifferenceMoment_AGP_3_0,Cells,Texture,InverseDifferenceMoment,AGP,3,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Texture_InverseDifferenceMoment_AGP_5_0,Cells,Texture,InverseDifferenceMoment,AGP,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cells_Texture_SumAverage_AGP_10_0,Cells,Texture,SumAverage,AGP,10,0,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Texture_SumAverage_AGP_3_0,Cells,Texture,SumAverage,AGP,3,0,0,0,401,85,0,0.5,0.51,0.18,0,0,0,1
Cells_Texture_SumAverage_AGP_5_0,Cells,Texture,SumAverage,AGP,5,0,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cells_Texture_SumEntropy_AGP_10_0,Cells,Texture,SumEntropy,AGP,10,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cells_Texture_SumEntropy_AGP_3_0,Cells,Texture,SumEntropy,AGP,3,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_SumEntropy_AGP_5_0,Cells,Texture,SumEntropy,AGP,5,0,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cells_Texture_SumVariance_AGP_10_0,Cells,Texture,SumVariance,AGP,10,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cells_Texture_SumVariance_AGP_3_0,Cells,Texture,SumVariance,AGP,3,0,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cells_Texture_SumVariance_AGP_5_0,Cells,Texture,SumVariance,AGP,5,0,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cells_Texture_Variance_AGP_10_0,Cells,Texture,Variance,AGP,10,0,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Cells_Texture_Variance_AGP_3_0,Cells,Texture,Variance,AGP,3,0,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cells_Texture_Variance_AGP_5_0,Cells,Texture,Variance,AGP,5,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Correlation_Costes_AGP_DNA,Cytoplasm,Correlation,Costes,AGP,DNA,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cytoplasm_Correlation_Costes_AGP_ER,Cytoplasm,Correlation,Costes,AGP,ER,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Correlation_Costes_AGP_Mito,Cytoplasm,Correlation,Costes,AGP,Mito,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_Correlation_Costes_AGP_RNA,Cytoplasm,Correlation,Costes,AGP,RNA,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cytoplasm_Correlation_K_AGP_DNA,Cytoplasm,Correlation,K,AGP,DNA,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cytoplasm_Correlation_K_AGP_ER,Cytoplasm,Correlation,K,AGP,ER,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Correlation_K_AGP_Mito,Cytoplasm,Correlation,K,AGP,Mito,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Correlation_K_AGP_RNA,Cytoplasm,Correlation,K,AGP,RNA,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Correlation_Manders_AGP_DNA,Cytoplasm,Correlation,Manders,AGP,DNA,,0,0,401,85,0,0.5,0.5,0.17,0,0,0,1
Cytoplasm_Correlation_Manders_AGP_ER,Cytoplasm,Correlation,Manders,AGP,ER,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_Correlation_Manders_AGP_Mito,Cytoplasm,Correlation,Manders,AGP,Mito,,0,0,401,85,0,0.5,0.5,0.17,0,0,0,1
Cytoplasm_Correlation_Manders_AGP_RNA,Cytoplasm,Correlation,Manders,AGP,RNA,,0,0,401,85,0,0.5,0.5,0.17,0,0,0,1
Cytoplasm_Correlation_RWC_AGP_DNA,Cytoplasm,Correlation,RWC,AGP,DNA,,0,0,401,85,0,0.5,0.62,0.22,0,0,0,1
Cytoplasm_Correlation_RWC_AGP_ER,Cytoplasm,Correlation,RWC,AGP,ER,,0,0,401,85,0,0.5,0.59,0.23,0,0,0,1
Cytoplasm_Correlation_RWC_AGP_Mito,Cytoplasm,Correlation,RWC,AGP,Mito,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cytoplasm_Correlation_RWC_AGP_RNA,Cytoplasm,Correlation,RWC,AGP,RNA,,13,9,392,72,0.59,0.57,0.57,0.24,0.24,0.238458495,0.15,0.98
Cytoplasm_Granularity_1_AGP,Cytoplasm,Granularity,1,AGP,,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Granularity_10_AGP,Cytoplasm,Granularity,10,AGP,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_Granularity_11_AGP,Cytoplasm,Granularity,11,AGP,,,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cytoplasm_Granularity_12_AGP,Cytoplasm,Granularity,12,AGP,,,6,3,398,79,0.67,0.53,0.53,0.21,0.13,0.177819063,0.07,0.99
Cytoplasm_Granularity_13_AGP,Cytoplasm,Granularity,13,AGP,,,0,0,401,85,0,0.5,0.52,0.18,0,0,0,1
Cytoplasm_Granularity_14_AGP,Cytoplasm,Granularity,14,AGP,,,0,0,401,85,0,0.5,0.56,0.19,0,0,0,1
Cytoplasm_Granularity_15_AGP,Cytoplasm,Granularity,15,AGP,,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Granularity_16_AGP,Cytoplasm,Granularity,16,AGP,,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Granularity_2_AGP,Cytoplasm,Granularity,2,AGP,,,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Granularity_3_AGP,Cytoplasm,Granularity,3,AGP,,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_Granularity_4_AGP,Cytoplasm,Granularity,4,AGP,,,0,0,401,85,0,0.5,0.65,0.23,0,0,0,1
Cytoplasm_Granularity_5_AGP,Cytoplasm,Granularity,5,AGP,,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cytoplasm_Granularity_6_AGP,Cytoplasm,Granularity,6,AGP,,,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cytoplasm_Granularity_7_AGP,Cytoplasm,Granularity,7,AGP,,,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cytoplasm_Granularity_8_AGP,Cytoplasm,Granularity,8,AGP,,,0,0,401,85,0,0.5,0.61,0.23,0,0,0,1
Cytoplasm_Granularity_9_AGP,Cytoplasm,Granularity,9,AGP,,,0,0,401,85,0,0.5,0.63,0.23,0,0,0,1
Cytoplasm_Intensity_IntegratedIntensity_AGP,Cytoplasm,Intensity,IntegratedIntensity,AGP,,,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cytoplasm_Intensity_IntegratedIntensityEdge_AGP,Cytoplasm,Intensity,IntegratedIntensityEdge,AGP,,,4,2,399,81,0.67,0.52,0.52,0.2,0.09,0.144734231,0.05,1
Cytoplasm_Intensity_LowerQuartileIntensity_AGP,Cytoplasm,Intensity,LowerQuartileIntensity,AGP,,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cytoplasm_Intensity_MADIntensity_AGP,Cytoplasm,Intensity,MADIntensity,AGP,,,0,0,401,85,0,0.5,0.56,0.19,0,0,0,1
Cytoplasm_Intensity_MassDisplacement_AGP,Cytoplasm,Intensity,MassDisplacement,AGP,,,8,6,395,77,0.57,0.54,0.54,0.21,0.16,0.179773337,0.09,0.99
Cytoplasm_Intensity_MaxIntensity_AGP,Cytoplasm,Intensity,MaxIntensity,AGP,,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_Intensity_MaxIntensityEdge_AGP,Cytoplasm,Intensity,MaxIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.57,0.2,0,0,0,1
Cytoplasm_Intensity_MeanIntensity_AGP,Cytoplasm,Intensity,MeanIntensity,AGP,,,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Intensity_MeanIntensityEdge_AGP,Cytoplasm,Intensity,MeanIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Intensity_MedianIntensity_AGP,Cytoplasm,Intensity,MedianIntensity,AGP,,,0,0,401,85,0,0.5,0.58,0.21,0,0,0,1
Cytoplasm_Intensity_MinIntensity_AGP,Cytoplasm,Intensity,MinIntensity,AGP,,,0,0,401,85,0,0.5,0.62,0.23,0,0,0,1
Cytoplasm_Intensity_MinIntensityEdge_AGP,Cytoplasm,Intensity,MinIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.62,0.23,0,0,0,1
Cytoplasm_Intensity_StdIntensity_AGP,Cytoplasm,Intensity,StdIntensity,AGP,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cytoplasm_Intensity_StdIntensityEdge_AGP,Cytoplasm,Intensity,StdIntensityEdge,AGP,,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cytoplasm_Intensity_UpperQuartileIntensity_AGP,Cytoplasm,Intensity,UpperQuartileIntensity,AGP,,,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Location_CenterMassIntensity_X_AGP,Cytoplasm,Location,CenterMassIntensity,AGP,X,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cytoplasm_Location_CenterMassIntensity_Y_AGP,Cytoplasm,Location,CenterMassIntensity,AGP,Y,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_Location_MaxIntensity_X_AGP,Cytoplasm,Location,MaxIntensity,AGP,X,,0,0,401,85,0,0.5,0.51,0.18,0,0,0,1
Cytoplasm_Location_MaxIntensity_Y_AGP,Cytoplasm,Location,MaxIntensity,AGP,Y,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cytoplasm_RadialDistribution_FracAtD_AGP_1of4,Cytoplasm,RadialDistribution,FracAtD,AGP,1of4,,8,3,398,77,0.73,0.54,0.54,0.23,0.17,0.22127821,0.09,0.99
Cytoplasm_RadialDistribution_FracAtD_AGP_2of4,Cytoplasm,RadialDistribution,FracAtD,AGP,2of4,,6,2,399,79,0.75,0.53,0.53,0.22,0.13,0.195853442,0.07,1
Cytoplasm_RadialDistribution_FracAtD_AGP_3of4,Cytoplasm,RadialDistribution,FracAtD,AGP,3of4,,6,1,400,79,0.86,0.53,0.53,0.22,0.13,0.217108444,0.07,1
Cytoplasm_RadialDistribution_FracAtD_AGP_4of4,Cytoplasm,RadialDistribution,FracAtD,AGP,4of4,,6,2,399,79,0.75,0.53,0.53,0.22,0.13,0.195853442,0.07,1
Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,Cytoplasm,RadialDistribution,MeanFrac,AGP,1of4,,0,0,401,85,0,0.5,0.53,0.2,0,0,0,1
Cytoplasm_RadialDistribution_MeanFrac_AGP_2of4,Cytoplasm,RadialDistribution,MeanFrac,AGP,2of4,,3,2,399,82,0.6,0.52,0.52,0.19,0.07,0.11409356,0.04,1
Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4,Cytoplasm,RadialDistribution,MeanFrac,AGP,3of4,,4,3,398,81,0.57,0.52,0.52,0.19,0.09,0.126186683,0.05,0.99
Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,Cytoplasm,RadialDistribution,MeanFrac,AGP,4of4,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4,Cytoplasm,RadialDistribution,RadialCV,AGP,1of4,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_AGP_2of4,Cytoplasm,RadialDistribution,RadialCV,AGP,2of4,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_AGP_3of4,Cytoplasm,RadialDistribution,RadialCV,AGP,3of4,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,Cytoplasm,RadialDistribution,RadialCV,AGP,4of4,,5,3,398,80,0.62,0.53,0.53,0.2,0.11,0.153284223,0.06,0.99
Cytoplasm_Texture_AngularSecondMoment_AGP_10_0,Cytoplasm,Texture,AngularSecondMoment,AGP,10,0,0,0,401,85,0,0.5,0.58,0.22,0,0,0,1
Cytoplasm_Texture_AngularSecondMoment_AGP_3_0,Cytoplasm,Texture,AngularSecondMoment,AGP,3,0,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Texture_AngularSecondMoment_AGP_5_0,Cytoplasm,Texture,AngularSecondMoment,AGP,5,0,0,0,401,85,0,0.5,0.6,0.22,0,0,0,1
Cytoplasm_Texture_Contrast_AGP_10_0,Cytoplasm,Texture,Contrast,AGP,10,0,0,0,401,85,0,0.5,0.61,0.22,0,0,0,1
Cytoplasm_Texture_Contrast_AGP_3_0,Cytoplasm,Texture,Contrast,AGP,3,0,0,0,401,85,0,0.5,0.56,0.21,0,0,0,1
Cytoplasm_Texture_Contrast_AGP_5_0,Cytoplasm,Texture,Contrast,AGP,5,0,0,0,401,85,0,0.5,0.59,0.21,0,0,0,1
Cytoplasm_Texture_Correlation_AGP_10_0,Cytoplasm,Texture,Correlation,AGP,10,0,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cytoplasm_Texture_Correlation_AGP_3_0,Cytoplasm,Texture,Correlation,AGP,3,0,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
